epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.29,1.32809,3.32468,1.78769,0.00335,1,0.02335,0.00729,0.83313,3.02484,1.71941,0.0928,0.0008,0.0008
2,189.798,0.91822,3.32302,1.51958,0.00323,0.96667,0.06908,0.01896,1.58055,3.20847,2.27261,0.0846996,0.00169958,0.00169958
3,191.288,0.82308,3.06674,1.40363,0.00345,1,0.39732,0.18886,1.05694,2.97359,1.76184,0.0765975,0.00259746,0.00259746
4,192.684,0.74897,2.82998,1.3531,0.00354,1,0.59374,0.41175,0.6963,2.8468,1.51341,0.0684923,0.00349231,0.00349231
5,194.112,0.76777,2.47566,1.32334,0.00357,1,0.63453,0.43712,0.67278,2.75885,1.37588,0.0603828,0.00438283,0.00438283
6,195.512,0.76273,2.18875,1.32431,0.00343,1,0.5673,0.29727,0.92766,2.76421,1.69323,0.0522677,0.0052677,0.0052677
7,196.89,0.79,1.95195,1.31056,0.00336,1,0.4819,0.2266,1.12624,2.907,1.95798,0.0441456,0.00614564,0.00614564
8,198.32,0.70353,1.7494,1.27179,0.00337,1,0.68191,0.4019,1.09392,2.85723,1.7501,0.0360154,0.00701536,0.00701536
9,199.749,0.83722,1.61879,1.37506,0.68547,0.27161,0.63406,0.30973,1.11692,2.74949,1.79986,0.0278756,0.00787559,0.00787559
10,201.145,0.87863,1.61948,1.40297,0.67951,0.59552,0.72386,0.37556,1.30334,2.38133,2.25948,0.0197251,0.00872507,0.00872507
11,202.506,0.85727,1.5892,1.36285,0.58932,0.24699,0.50711,0.27523,1.24429,2.54525,2.18231,0.0115626,0.00956258,0.00956258
12,203.866,0.89141,1.55121,1.38909,0.75528,0.56667,0.70831,0.49756,1.01915,2.0351,1.70727,0.00970736,0.00970736,0.00970736
13,205.213,0.85481,1.58822,1.36431,0.76446,0.51749,0.50514,0.27258,1.3456,2.56291,2.19358,0.00965239,0.00965239,0.00965239
14,206.595,0.84994,1.50198,1.36382,0.55918,0.81808,0.81322,0.45801,1.29117,2.30937,2.07114,0.00959289,0.00959289,0.00959289
15,207.953,0.90056,1.46126,1.40396,1,0.91426,0.95804,0.60736,1.03478,1.72801,1.8466,0.00952889,0.00952889,0.00952889
16,209.334,0.81993,1.42401,1.35889,0.88666,0.9,0.92013,0.65102,1.01268,1.48825,1.69613,0.00946048,0.00946048,0.00946048
17,210.741,0.93605,1.42404,1.44566,0.81787,0.82455,0.84135,0.56731,0.98962,1.52694,1.7165,0.00938772,0.00938772,0.00938772
18,212.126,0.89547,1.37974,1.43022,0.88361,0.85103,0.96022,0.6328,1.06249,1.51251,1.77532,0.00931067,0.00931067,0.00931067
19,213.478,0.87012,1.26812,1.36299,0.41972,0.76667,0.55982,0.3375,1.13103,4.37628,1.79241,0.00922942,0.00922942,0.00922942
20,214.845,0.7944,1.18807,1.30235,0.75989,0.92687,0.90624,0.59226,1.04765,2.07091,1.77588,0.00914405,0.00914405,0.00914405
21,216.236,0.88978,1.21542,1.35308,0.66757,0.89563,0.84098,0.6014,0.93264,2.18476,1.55905,0.00905463,0.00905463,0.00905463
22,217.573,0.87609,1.16031,1.32398,0.86979,0.8,0.86826,0.65911,0.75067,1.66553,1.36778,0.00896127,0.00896127,0.00896127
23,218.939,0.85861,1.22009,1.34793,0.89299,0.81588,0.90709,0.71264,0.74842,1.21129,1.33383,0.00886404,0.00886404,0.00886404
24,220.355,0.82867,1.20644,1.3258,0.79096,0.96667,0.94066,0.78289,0.6473,1.3357,1.30642,0.00876305,0.00876305,0.00876305
25,221.708,0.84221,1.12499,1.35609,0.82936,0.96138,0.93864,0.8219,0.60603,1.01798,1.28389,0.00865839,0.00865839,0.00865839
26,223.087,0.86318,1.1312,1.31957,0.69843,0.86846,0.86788,0.73296,0.60651,1.32182,1.23976,0.00855018,0.00855018,0.00855018
27,224.503,0.84532,1.1295,1.33115,0.77214,0.9,0.90573,0.73937,0.68856,1.12569,1.28225,0.00843851,0.00843851,0.00843851
28,225.914,0.85286,1.16433,1.34503,0.85986,0.96246,0.93371,0.82462,0.55279,0.93915,1.1437,0.00832349,0.00832349,0.00832349
29,227.279,0.92367,1.1284,1.38305,0.85851,0.9,0.92566,0.81309,0.57368,0.96254,1.14705,0.00820525,0.00820525,0.00820525
30,228.667,0.81403,1.07705,1.26539,0.8591,0.83333,0.94322,0.78171,0.67718,1.02165,1.27988,0.00808389,0.00808389,0.00808389
31,230.029,0.87953,1.07566,1.33407,0.99837,0.97928,0.995,0.89845,0.48965,0.64722,1.0847,0.00795954,0.00795954,0.00795954
32,231.477,0.78638,1.10656,1.29069,0.89678,0.86667,0.95821,0.84782,0.53595,0.77963,1.09621,0.00783231,0.00783231,0.00783231
33,232.832,0.79593,0.9816,1.26864,0.96804,0.91303,0.98125,0.80999,0.629,0.76102,1.19366,0.00770234,0.00770234,0.00770234
